Fighter,wins,losses,draws,nc,total_matches
felipe colares,2,4,0,0,6
felipe dos santos,1,2,0,0,3
felipe lima,2,0,0,0,2
felipe olivieri,0,1,0,0,1
felipe silva,1,2,0,0,3
felix lee mitchell,0,3,0,0,3
feng xiaocan,0,1,0,0,1
fernando bruno,0,2,0,0,2
fernando padilla,2,2,0,0,4
fernie garcia,0,3,0,0,3
filip pejic,0,1,0,0,1
flavio luiz moura,0,1,0,0,1
floyd sword,0,1,0,0,1
forrest griffin,10,5,0,0,15
forrest petz,2,5,0,0,7
francesco maturi,0,1,0,0,1
francimar barroso,4,4,0,1,9
francis carmont,6,3,0,0,9
francis marshall,2,2,0,0,4
francis ngannou,12,2,0,0,14
francisco figueiredo,2,2,0,0,4
francisco prado,1,2,0,0,3
francisco rivera,4,6,0,1,11
francisco trevino,1,2,0,0,3
francisco trinaldo,18,8,0,0,26
frank camacho,2,6,0,0,8
frank caracci,0,1,0,0,1
